domain,bias_score,factually_questionable_flag,propaganda_flag,conspiracy_flag,hate_group_flag,satire_flag
clashdaily.com,3,1,0,0,1,0
cleantechnica.com,-1,0,0,0,0,0
cleveland.com,-1,0,0,0,0,0
clickhole.com,NaN,0,0,0,0,1
climateactiontracker.org,0,0,0,0,0,0
climatecentral.org,0,0,0,0,0,0
climatechangedispatch.com,NaN,1,0,1,0,0
climatedepot.com,3,1,0,1,0,0
climatefeedback.org,0,0,0,0,0,0
climaterealityproject.org,-2,0,0,0,0,0
climatescienceinternational.org,NaN,1,0,1,0,0
climatesciencewatch.org,0,0,0,0,0,0
climatism.blog,3,1,0,1,0,0
cloverchronicle.com,3,1,0,0,0,0
cnas.org,-1,0,0,0,0,0
cnbc.com,0,0,0,0,0,0
cnet.com,0,0,0,0,0,0
cnn.com,-1,0,0,0,0,0
cnsnews.com,2,1,1,0,0,0
coasttocoastam.com,NaN,1,0,1,0,0
cochrane.org,0,0,0,0,0,0
codepink.org,-2,0,0,0,0,0
colddeadhands.us,2,0,0,0,0,0
collective-evolution.com,NaN,1,0,1,0,0
colombiareports.com,-1,0,0,0,0,0
coloradosun.com,-1,0,0,0,0,0
columbiadailyherald.com,1,0,0,0,0,0
columbusfreepress.com,-2,0,0,0,0,0
comicsands.com,-2,0,0,0,0,0
commdiginews.com,2,0,0,0,0,0
commentarymagazine.com,2,0,0,0,0,0
commercialappeal.com,0,0,0,0,0,0
commoncause.org,-1,0,0,0,0,0
commondreams.org,-2,0,0,0,0,0
commonwealmagazine.org,-1,0,0,0,0,0
commonwealthfund.org,-1,0,0,0,0,0
concernedwomen.org,3,1,0,0,1,0
concordmonitor.com,0,0,0,0,0,0
confederacyofdrones.com,NaN,0,0,0,0,1
congress.gov,0,0,0,0,0,0
consciouslifenews.com,3,1,0,1,0,0
conservapedia.com,3,1,0,0,0,0
conservativeammo.com,3,1,0,0,0,0
conservativebase.com,2,0,0,0,0,0
conservativebuzz.com,3,1,0,0,0,0
conservativebyte.com,3,1,0,0,0,0
conservativedailynews.com,2,0,0,0,0,0
conservativedailypost.com,3,1,0,0,0,0
conservativefighters.com,3,1,0,0,0,0
conservativefiringline.com,3,1,1,0,0,0
conservativefreepress.com,3,1,0,0,0,0
conservativehq.com,2,0,0,0,0,0
conservativeinstitute.org,2,0,0,0,0,0
conservativemedia.com,3,1,0,0,0,0
conservativeopinion.com,2,0,0,0,0,0
conservativepapers.com,3,1,0,0,0,0
conservativepost.com,3,1,0,0,0,0
conservativereview.com,2,0,0,0,0,0
conservativetoday.com,2,0,0,0,0,0
conservativewoman.co.uk,2,0,0,0,0,0
consortiumnews.com,-1,0,0,0,0,0
conspiracydailyupdate.com,3,1,0,1,0,0
constitutioncenter.org,0,0,0,0,0,0
constitutionproject.org,-1,0,0,0,0,0
consumerist.com,0,0,0,0,0,0
consumerlab.com,0,0,0,0,0,0
consumerreports.org,0,0,0,0,0,0
contrailscience.com,0,0,0,0,0,0
cookpolitical.com,0,0,0,0,0,0
copblock.org,-2,0,0,0,0,0
corbettreport.com,3,1,0,1,0,0
coronavirus.gov,0,0,0,0,0,0
corriere.it,0,0,0,0,0,0
cosmicintelligenceagency.com,NaN,1,0,1,0,0
cosmopolitan.com,-2,0,0,0,0,0
cosmosmagazine.com,0,0,0,0,0,0
councilforthenationalinterest.org,-1,0,0,0,0,0
countable.us,0,0,0,0,0,0
countdowntozerotime.com,NaN,1,0,1,0,0
countercurrents.org,-2,0,0,0,0,0
counterpunch.org,-2,0,0,0,0,0
courant.com,-1,0,0,0,0,0
courier-journal.com,-1,0,0,0,0,0
courier-tribune.com,0,0,0,0,0,0
couriermail.com.au,1,0,0,0,0,0
courthousenews.com,0,0,0,0,0,0
covidtracking.com,0,0,0,0,0,0
cowgernation.com,2,0,0,0,0,0
cp24.com,0,0,0,0,0,0
cpac.ca,0,0,0,0,0,0
cpj.org,0,0,0,0,0,0
cracked.com,NaN,0,0,0,0,1
creation.com,NaN,1,0,1,0,0
creationwiki.org,3,1,0,1,0,0
credoaction.com,-1,0,0,0,0,0
crfb.org,1,0,0,0,0,0
crikey.com.au,-2,0,0,0,0,0
crimeola.com,0,0,0,0,0,0
crimeresearch.org,2,0,0,0,0,0
crimethinc.com,-2,0,0,0,0,0
crisisgroup.org,-1,0,0,0,0,0
crisismagazine.com,2,0,0,0,0,0
crooked.com,-2,0,0,0,0,0
crooksandliars.com,-2,0,0,0,0,0
